message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.494645])";"30";"turtlesim1.sim";"1759221803.441043361";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.614769, y=-0.029307])";"30";"turtlesim2.sim";"1759221803.428508173";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.814966, y=-0.031981])";"30";"turtlesim3.sim";"1759221803.410551173";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.627619, y=-0.029307])";"30";"turtlesim2.sim";"1759221803.398489477";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.813853, y=-0.031981])";"30";"turtlesim3.sim";"1759221803.358038851";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.812740, y=-0.031981])";"30";"turtlesim3.sim";"1759221803.328329121";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.653317, y=-0.029307])";"30";"turtlesim2.sim";"1759221803.326628002";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.811626, y=-0.031981])";"30";"turtlesim3.sim";"1759221803.313117331";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.515069])";"30";"turtlesim1.sim";"1759221803.299321258";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.523238])";"30";"turtlesim1.sim";"1759221803.265344775";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.527323])";"30";"turtlesim1.sim";"1759221803.256373568";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.691866, y=-0.029307])";"30";"turtlesim2.sim";"1759221803.251149796";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.531408])";"30";"turtlesim1.sim";"1759221803.238988607";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.717565, y=-0.029307])";"30";"turtlesim2.sim";"1759221803.212672543";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.539578])";"30";"turtlesim1.sim";"1759221803.200168337";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.543663])";"30";"turtlesim1.sim";"1759221803.184532808";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.810513, y=-0.031981])";"30";"turtlesim3.sim";"1759221801.448544138";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.809400, y=-0.031981])";"30";"turtlesim3.sim";"1759221801.401827095";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.808287, y=-0.031981])";"30";"turtlesim3.sim";"1759221801.339770890";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.730414, y=-0.029307])";"30";"turtlesim2.sim";"1759221801.317347051";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.547747])";"30";"turtlesim1.sim";"1759221801.279581422";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.807173, y=-0.031981])";"30";"turtlesim3.sim";"1759221801.278536127";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.743264, y=-0.029307])";"30";"turtlesim2.sim";"1759221801.276261776";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.806060, y=-0.031981])";"30";"turtlesim3.sim";"1759221801.237575800";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.756113, y=-0.029307])";"30";"turtlesim2.sim";"1759221801.217677122";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.551832])";"30";"turtlesim1.sim";"1759221801.209519996";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.804947, y=-0.031981])";"30";"turtlesim3.sim";"1759221801.163673131";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.555917])";"30";"turtlesim1.sim";"1759221801.157753760";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.560002])";"30";"turtlesim1.sim";"1759221801.097153858";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.794661, y=-0.029307])";"30";"turtlesim2.sim";"1759221801.069242366";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.564087])";"30";"turtlesim1.sim";"1759221801.049208041";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.807511, y=-0.029307])";"30";"turtlesim2.sim";"1759221801.009255340";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.801607, y=-0.031981])";"30";"turtlesim3.sim";"1759221801.007421572";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.568172])";"30";"turtlesim1.sim";"1759221800.997414573";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.820360, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.977608661";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.572256])";"30";"turtlesim1.sim";"1759221800.963219793";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.800494, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.962337036";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.833210, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.942687412";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.799381, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.933647370";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.576341])";"30";"turtlesim1.sim";"1759221800.914580143";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.846059, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.904293316";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.797154, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.832146416";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.592680])";"30";"turtlesim1.sim";"1759221800.722550620";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.793814, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.690027923";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.600850])";"30";"turtlesim1.sim";"1759221800.627746368";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.936005, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.610640993";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.948855, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.552406941";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.790475, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.530866557";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.961704, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.507963658";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.609020])";"30";"turtlesim1.sim";"1759221800.502743723";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.974554, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.485904997";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.789361, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.483226088";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.987403, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.441591880";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.617189])";"30";"turtlesim1.sim";"1759221800.430480043";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.000253, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.402503487";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.787135, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.396597133";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.621274])";"30";"turtlesim1.sim";"1759221800.377744433";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.786021, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.357631397";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.013102, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.348768597";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.625359])";"30";"turtlesim1.sim";"1759221800.323385797";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.025952, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.311650812";"./src/turtle.cpp:update:288"
